Titles,w,SD_F_AB_nCi_2_SS1_C_LGP[1;2;6]_a_MAS,MN_B_AB_nCi_2_SS4_T_KA_r-m_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_SS1_X_LGP[1;2;6]_v-e_MAS,V_F_AB_nCi_2_NS2_T_LGP[2-4]_v_MAS,N2_B_AB_nCi_2_MP6_T_LGP[4-6]_a-r_MAS,S_F_AB_nCi_2_NS4_C_LGP[2-4]_a_MAS,MN_B_AB_nCi_2_NS3_C_LGP[1]_c-p_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,E
A_179_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.060757238,0.127979624,1.997846469,670.2818046,20.41472501,823.7522326,0.049882423,-1.770765402,-13.78167784,67.79450848,1.281900719,3.02621533,-10.37
A_181_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053266051,0.015656121,1.9535982,136.3358425,20.19620833,137.1605143,0.01171328,-3.020598289,-7.200465431,20.25542814,0.13873233,0.224641236,-12.9
A_184_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.067916144,0.037464096,3.196930469,595.9100213,22.7415,989.4795455,0.019353572,-1.148021333,-22.46669197,96.12549832,0.893540463,0.688601859,-9.42
A_192_00001,0.117259125,0,0.910215941,0,18.19048776,461.5273029,0.007817189,0,0,0,0,0,-5.46
A_196_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.050039585,0.191913461,2.523256926,103.6923786,16.978375,398.52687,0,0.490769782,-8.750060463,55.99911409,0.253505915,1.789776433,-16.76
A_197_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.057836501,0.116128667,3.554167152,120.5149313,22.7415,397.1896944,0.021474181,-0.927399067,-19.25617937,73.20866391,0.396763645,1.010462361,-24.6
A_199_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.038119273,0.353515892,2.498652381,73.29757783,16.978375,355.26572,0,1.459593202,-8.04227382,41.95021341,0.245488648,1.823168118,-17.5
A_2_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofil,0.0701555,0.495425644,2.238371603,152.6277963,15.42275819,466.5828838,0.06097689,-1.016002091,-6.674506061,25.36776107,0.356522372,1.719809365,-13.77
A_200_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.037560891,0.348655484,2.538112199,85.77021194,16.978375,291.4611929,0.022494653,-0.290049717,-9.942994586,36.82225668,0.283189286,1.604647891,-22.1
A_201_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.037563762,0.357618469,2.423869306,81.88138731,16.978375,315.468,0.033055549,0.185884723,-9.467817338,38.09256224,0.271355887,1.617025509,-19.9
A_202_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.038205414,0.362189877,2.459071515,75.92080856,16.978375,339.2495067,0,0.385664854,-8.992640002,39.66941512,0.269500264,1.672549619,-21
A_205_00001,0.057995546,0.379179889,2.088388292,458.4234769,17.16059146,534.0313583,0.053588591,0.726179308,-10.55739862,28.04864293,0.226279603,3.658987114,-12.23
A_214_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.048875958,0.421170149,2.113039241,685.869864,15.56473842,1100.725907,0.05159627,-0.710406454,-11.6690981,60.01189094,1.519587363,1.926748045,-23.8
A_215_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.050041648,0.384310326,2.0923689,522.0932605,19.55953382,556.1090877,0.03006031,-1.657566728,-11.97864234,42.67888234,1.351953844,2.605810295,-18.98
A_216_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.050943333,0.394084459,2.113514362,664.3140706,17.41649168,1015.604309,0.041279255,-1.799609377,-11.51367438,62.89432285,1.482993837,1.868849261,-23.1
A_217_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066252383,0.417744287,2.113514362,666.1655732,19.00451919,1029.831426,0.02664769,-2.101053024,-21.37672271,66.45518994,1.480109182,1.718784889,-18.06
A_218_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053892402,0.400276387,1.997846469,660.7834356,17.42252752,1087.67532,0.037220728,-2.169403387,-11.4902537,63.91358928,1.477337026,1.716229695,-21.47
A_219_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.055079943,0.416650958,2.113514362,660.2879712,18.25460063,1071.197392,0.037873291,-1.898035672,-11.48704005,65.05459594,1.475830013,1.654495062,-21.11
A_220_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.076790535,0.398262118,1.100279644,661.8532378,17.51772748,1036.33649,0.02527308,-2.376869613,-11.49741137,67.46870164,1.479069966,1.652419487,-17.67
A_221_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.057399783,0.565326161,2.191579205,363.6837512,21.21983033,582.5619061,0.045681194,-1.712517509,-7.646847651,23.02229492,0.16397449,2.710444712,-10.15
A_223_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.0660998,0.471781325,2.178738788,386.0366789,18.25460063,727.2899515,0.059159336,-1.473727469,-9.29802828,57.60913848,0.473680774,2.44053487,-17.79
A_227_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.062492228,0.065715863,2.128867591,771.9071134,16.27986814,1495.235088,0.031654689,-1.734678128,-17.15927842,95.54467859,0.489060578,0.925959146,-13.39
A_228_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.069318761,0.145442502,2.102408948,694.6536299,20.75355674,824.3301814,0.055988535,-1.633723068,-15.8500087,69.7456715,1.292075577,2.671767224,-10.73
