Titles,w,HOMO,SD_F_AB_nCi_2_NS2_X_KA_e_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,N3_B_AB_nCi_2_SS8_X_LGP[4-6]_a-p_MAS,N3_B_AB_nCi_2_NS8_H_T_KA_e-c_MAS,N3_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,MN_F_AB_nCi_2_SS8_T_KA_r_MAS,S_B_AB_nCi_2_NS6_T_NSRW_a-c_MAS,MN_B_AB_nCi_2_SS6_T_SRW_a-r_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,HM_F_AB_nCi_2_SS1_X_LGP[1;2;6]_r_MAS,E
A_217_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.066252383,-0.37234399,8.686051918,666.1655732,-1.079166496,-5508.989729,-1.025032016,1.402435811,-2.01968351,-0.509498489,66.45518994,1.480109182,1.718784889,0.975666167,-18.06
A_218_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053892402,-0.340666086,7.211175555,660.7834356,-1.08080486,3965.58643,-1.014956691,1.402897504,-2.213336636,-0.509498489,63.91358928,1.477337026,1.716229695,0.895510646,-21.47
A_219_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.055079943,-0.3505884,7.382863394,660.2879712,-1.08080092,3294.422518,-1.045159472,1.402975251,-2.167317603,-0.509498489,65.05459594,1.475830013,1.654495062,0.908979706,-21.11
A_220_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.076790535,-0.393621839,10.15407753,661.8532378,-1.078867354,4190.059943,-1.045325152,1.174037142,-1.996486944,-0.509498489,67.46870164,1.479069966,1.652419487,0.559792093,-17.67
A_221_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.057399783,-0.378076882,11.03001344,363.6837512,-1.941881118,1328.781339,-1.750786935,1.220433893,-0.09116202,-0.614255188,23.02229492,0.16397449,2.710444712,1.056485183,-10.15
A_223_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.0660998,-0.415671424,8.038011966,386.0366789,-0.888886765,1500.258149,-1.70625911,1.492169769,-1.364434784,-0.614255188,57.60913848,0.473680774,2.44053487,0.908979706,-17.79
A_227_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.062492228,-0.307775456,3.966207376,771.9071134,-0.143196589,-3905.478282,0.779996592,2.34684871,-2.763476513,-0.39932,95.54467859,0.489060578,0.925959146,1.003306563,-13.39
A_228_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.069318761,-0.322842672,8.774455183,694.6536299,0.963620846,-2666.808637,1.267789525,2.240574202,-0.741665934,-0.453210531,69.7456715,1.292075577,2.671767224,1.195166696,-10.73
A_229_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053678159,-0.307077219,4.209147178,668.1243134,-1.789931614,-4028.880835,0.3385038,2.184420485,-1.108510601,-0.426536747,99.76866739,0.424351111,1.415732016,1.003306563,-17.29
A_230_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.056585496,-0.318065262,9.323778583,673.1252151,-0.383276113,2615.66825,-1.265989849,1.665655578,-0.943088644,-0.453210531,66.71132605,1.286323835,3.115396332,1.133769844,-12.76
A_231_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.060358825,-0.430371148,14.90845546,196.5095514,0,8155.449038,-2.014960554,1.439794365,0.741050545,-1.686683534,42.95140941,0.408407371,2.064508483,1.877009653,-12.09
A_232_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.055012807,-0.376276166,12.98695269,182.2730383,-0.216083062,-6181.978268,-1.336784312,2.348278586,1.706518301,-1.020579671,42.28851885,0.366292802,1.368721926,1.192305596,-18.36
A_233_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.049173415,-0.38616173,7.838040253,249.5051067,-1.068386434,-2225.693658,-1.329353412,1.494831482,-0.099971268,-0.784768623,55.89900702,0.452484631,1.814041281,0.908979706,-23.59
A_235_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.055385994,-0.347758703,6.790623285,308.3622087,-0.639905459,-3188.76941,-1.347630318,1.514917514,0.361522219,-0.614255188,54.59245498,0.586774795,1.7316311,0.908979706,-24.52
A_240_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.056662543,-0.309980414,7.617499312,734.8184381,-0.859771304,4518.24058,-2.776136388,1.617814517,-1.437721965,-0.484636437,61.16685268,1.361149789,3.301346633,0.886056782,-13.97
A_242_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.051731082,-0.299543611,4.192095332,673.2279333,-1.794444428,-4196.593327,-0.648856033,2.181293255,-1.237821555,-0.426536747,95.1751428,0.427952413,1.490031711,0.811017227,-17.9
A_243_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.05078296,-0.302373307,5.350290311,694.0980003,-0.116356662,-1813.013851,0.549163996,2.276411957,-2.482192911,-0.356234716,67.96163691,0.813740745,1.056781451,0.876422785,-14.68
A_245_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.079433734,-0.430297649,9.076523991,399.7438453,-0.009525083,2652.99104,-1.73301113,1.952831093,-0.678208838,-0.539562822,70.12482287,0.418267849,1.956067475,1.212842626,-11.31
A_249_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.05200289,-0.406667844,7.998604488,187.0853841,0,-1810.828131,-1.110680767,1.712005932,-0.135632102,-0.99363105,47.83775867,0.506864667,1.553005149,1.055191634,-18.84
A_252_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.085772916,-0.348162945,5.067400864,1252.984117,1.721276946,5280.781645,-1.454314912,2.562316972,0.670955419,-0.284242381,120.1731507,1.109903104,2.44328289,1.341566679,-12.02
A_254_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.041057848,-0.39409958,5.681030704,79.01607582,-0.129281474,-1504.741761,-2.335019358,1.48216518,0.714319186,-0.81841855,35.76216103,0.514984178,2.706929469,0.815422462,-17.9
A_255_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.059661818,-0.320012975,7.83066082,713.1070951,-0.858524217,4580.948029,-2.76258239,1.622094234,-1.260952146,-0.484636437,64.28713785,1.327468099,3.26797017,1.000303394,-12.76
A_256_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.063836725,-0.331772754,9.975240162,605.8968029,0.113187483,-6393.369687,0.831993649,2.341996538,-3.156928552,-0.39932,86.69461205,0.904039157,1.113693826,1.119352412,-13.3
A_257_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.063107285,-0.344120521,7.850280763,709.5522235,-0.857551473,4894.726867,-2.7787016,1.622273643,-1.134480745,-0.484636437,65.38371351,1.32224619,3.18319,0.977636226,-10.28
A_258_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.065374759,-0.34581099,10.13014949,601.4563025,0.101705988,-5979.229025,0.588163865,2.230499046,-2.945151546,-0.3284155,88.70260523,0.899731039,0.834063849,1.09733702,-10.8
A_262_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.086567022,-0.361613192,5.171770109,1224.636393,1.739445228,5264.875824,-1.446357618,2.603254045,0.787415511,-0.286135598,117.9413913,1.03900105,2.426254801,1.341566679,-12.13
A_263_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.105486002,-0.423829771,4.865179308,1000.018046,0.481269587,7245.238913,-2.050203885,1.869901142,0.632965152,-0.286135598,106.8382175,0.899462786,2.844981844,1.166503321,-9.37
A_264_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.105486002,-0.423829771,4.865179308,1000.018046,0.481269587,7245.238913,-2.050203885,1.869901142,0.632965152,-0.286135598,106.8382175,0.899462786,2.844981844,1.166503321,-11.12
A_265_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.079481161,-0.401339194,7.016728481,413.5183885,-0.075612502,740.7667808,-1.331384286,2.326839337,1.266782708,-0.506985444,100.4639404,0.366455495,1.678041696,1.1561375,-16.19
A_267_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.038802771,-0.392225366,6.538040991,56.9661233,-0.695463575,-1394.132228,-1.613299694,1.493728697,0.685393018,-1.044792102,32.96143938,0.255256224,1.826464116,1.1561375,-22.3
A_273_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.049636709,-0.4010452,8.082874529,250.3503498,-1.103010232,-2105.452493,-1.79551815,1.962020424,-1.229130567,-0.974399481,45.37561079,0.445308216,2.277234084,0.742534088,-20.22
A_276_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.059452302,-0.319571984,3.846552908,667.2206293,-1.789170259,-4094.763422,-0.753914618,2.184753708,-1.028128733,-0.426536747,102.5893709,0.423733942,1.117140302,1.1561375,-15.83
A_277_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.070501734,-0.36918355,11.64250004,210.6684966,-0.08224904,-2912.711037,-0.72900148,0.876465944,3.151284481,-0.726366869,42.13101114,0.404067584,0.824604258,0.289730101,-13.85
A_280_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.058121766,-0.372674734,13.12168178,739.6533499,-0.469524498,10254.05445,0.735767038,2.22658793,-2.637623378,-0.844662547,58.81002982,0.949302136,1.228641194,1.444632566,-7.5
A_293_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.076653029,-0.329714793,9.232275349,668.4751805,-1.813888977,-3797.347185,-0.75424765,1.175600835,-0.539922509,-0.426536747,108.0163145,0.420190336,1.114076443,0.417671646,-16.25
A_294_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.061954148,-0.313581846,3.774083642,668.1303631,-1.813918608,-4229.295871,-0.754246731,2.196965132,-0.994018514,-0.426536747,108.0163145,0.419980196,1.114024535,1.1561375,-17
A_295_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.077558957,-0.362164432,5.225769412,734.8762128,-1.717713339,-1057.485169,-1.474428651,1.910089739,-1.469067601,-0.426536747,106.5084837,0.841955629,1.844565329,1.029175844,-11.68
A_296_00001,0.073252071,-0.361098702,6.88,69.76975048,0,792.1172661,0.739972847,3.4986,9,-0.35055972,105.099472,-0.01838469,0.833097141,2.46465,-17.7
A_298_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.063916109,-0.316926033,3.758749464,668.6722487,-1.809842747,-3710.160768,-0.75424719,2.196801943,-0.764157505,-0.426536747,108.0163145,0.420310637,1.114052922,1.289848034,-16.84
A_299_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.044757917,-0.336991156,11.78592203,346.4968575,-0.108863097,-3861.913449,-1.545657006,2.001731043,2.368907359,-0.393231881,29.71962824,0.098212574,1.612350832,0.98811986,-15.38
A_300_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053012065,-0.325341625,10.38723796,166.3295414,0.221495358,-3106.516736,0.887686088,3.762141036,-2.896808011,-0.393231881,61.86238707,0.045380742,1.204540835,1.171816312,-18.15
A_301_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.076465285,-0.347979199,13.29006693,171.4411233,0.290560245,-2353.348011,0.887468807,1.180246408,-2.670282721,-0.38784924,61.86238707,0.045568977,1.204236584,0.498474738,-15.89
A_32_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.05467542,-0.345149502,4.504165329,325.7473412,-0.100110134,-3249.754956,-0.790192264,2.422766263,0.748320906,-0.390452661,57.31567871,0.33170043,0.855704442,1.1561375,-19.39
