Titles,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_NS1_A_LGP[1;2;6]_r-e_MAS,N3_B_AB_nCi_2_MP3_C_LGP[1]_v-c_MAS,P3_B_AB_nCi_2_SS2_C_LGP[1;2;6]_v-p_MAS,S_B_AB_nCi_2_NS7_C_LGP[1;2;6]_r-c_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,HM_F_AB_nCi_2_SS1_X_LGP[1;2;6]_r_MAS,SIC_TrF_AB_nCi_3_M21(M13)_NS0_T_KA_psa_MID,RA_Tr_AB_nCi_3_M27_SS0_A_KA_a-e-v_MID,w,E
A_19_00001,107.80098860009282,0.0,0.0097673975700294,36.3308015049122,0.6906082040533243,0.1635597263806265,0.0,0.0,0.0,0.249421244359661,-0.13
A_191_00001,262.1699185846548,5.397151217909362,0.111227853450059,53.13255242668489,3.383084371438428,0.5688086336335062,0.4363444736736328,0.1961126287193965,17.59155839338055,0.2063964550123403,-17.9
A_193_00001,-275.4254497745573,6.454922617668711,-0.0624722744482701,57.2353806696684,-1.734901150448787,0.3152967603240053,0.4692508909695826,0.735853421723026,16.16295290978834,0.2069459676280162,-5.99
A_194_00001,-277.66573811729967,5.872594860453382,-0.0566557850206219,53.40408699660368,-1.6430399685165862,0.3320882977100122,0.583010615402183,0.5802707580781961,17.741442884655996,0.1972010282879908,-6.9
A_195_00001,-63.350698767825975,5.824362210935087,-0.0162470663768826,49.42556404160821,0.7151290057863492,0.1582725748815998,0.7056890927523665,0.5082091142842055,6.301344498057879,0.2317272368769639,-9.78
A_198_00001,10.936839840577877,0.0,0.0096592845046256,37.206001610806,1.6533982118384716,0.0534632831874287,0.0,0.0,0.0,0.2763852066992982,5.74
A_20_00001,110.06713416627944,0.0,0.0093941905349594,34.504350862886795,0.5156187128703337,0.1644738065515688,0.0,0.0,0.0,0.2461314587846889,-0.7
A_204_00001,39.06409997795924,0.0,-0.0054645757754339,34.87073938312227,-0.1522448285018501,0.1136435441970678,0.0,0.0,0.0,0.2613046838304666,1.23
A_206_00001,40.63618756991869,1.8310614765121924,0.0058933843283001,40.735413208341086,1.782400086240452,0.1373601941552065,1.17175625,0.0,2.564279151092645,0.308456479904306,6.11
A_207_00001,38.82583953555429,1.831061476512192,0.0039445149609467,40.63808686359789,1.4128463525474269,0.1251433012600383,1.17175625,0.0,0.8517979814302186,0.2889150114185274,4.15
A_209_00001,40.40644501121098,6.978179001916038,-0.0054306865417805,41.9745859788212,0.3881369804072294,0.1207375829197444,1.45853125,0.0,5.233145484448291,0.2769447133213688,2.69
A_21_00001,112.3310506627214,0.0,0.0090498491977688,33.24043724863853,0.3977863774188573,0.1653782211160336,0.0,0.0,0.0,0.2418416970065335,-1.21
A_210_00001,42.49594509207541,5.941328981285578,-0.0232916446302845,43.14833468942868,0.4679896800658519,0.1217936209329528,0.941103848068971,0.6274390175816198,6.331431625144882,0.2225333061437037,-7.5
A_211_00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558751378890649,-0.63
A_22_00001,108.39700084092892,5.313362042045034,-0.0079710867939619,37.63039206671193,0.7597861726266478,0.2454763341975389,0.8614704369242033,0.0628814817015675,5.2444054653111625,0.2432046679616938,-1.59
A_226_00001,36.62793783345041,0.0,-0.0064173601773925,40.53817005597971,0.2817524404100667,0.1116491201194601,0.0,0.0,0.0,0.2689611865217093,2.7
A_23_00001,111.00397107515836,5.313362042045034,-0.0116817408345741,36.40428289562189,0.629858998793897,0.2457177312312289,0.8614704369242033,0.2744572122342903,5.740072685024161,0.2366609292339419,-3.04
A_237_00001,-587.4825201788836,9.801425400709336,0.0383375230821712,74.91975023070366,-0.6188978822146558,0.394754565296304,0.5782818462080273,1.0,3.4177736756553814,0.2407071802173361,-3.45
A_246_00001,67.16455802644842,5.001724398343029,-0.0441732341719404,36.32548153098107,1.231166685460548,0.2284879623700764,0.5597536643415117,0.4846856983727908,6.811817612552801,0.2411172692310332,0.14
A_247_00001,66.69964371005516,4.597268107967091,-0.0412691503424094,34.17844887728054,0.9775598884081,0.2023559000663967,0.414560295925733,0.55583362792012,6.794569520222225,0.2500014632643013,1.9
